pageid,ns,title,index,coordinates,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius
364,0,Q222,-1,"[{'lat': 41, 'lon': 20, 'primary': True}, {'lat': 42.67, 'lon': 19.73, 'primary': False}, {'lat': 39.64477547, 'lon': 20.19382596, 'primary': False}, {'lat': 40.66620273, 'lon': 21.0571754, 'primary': False}, {'lat': 40.4219257, 'lon': 19.28877354, 'primary': False}]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/ISS006-E-45668_-_View_of_Albania.jpg/320px-ISS006-E-45668_-_View_of_Albania.jpg,320.0,218.0,['Albania'],39.64407264763161,20.272670314810025,10000
21803,0,Q18731,0,"[{'lat': 39.65889, 'lon': 20.18139, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Konispol.jpg/320px-Konispol.jpg,320.0,179.0,['Konispol'],39.64407264763161,20.272670314810025,10000
203709,0,Q207552,1,"[{'lat': 39.58333333, 'lon': 20.33333333, 'primary': False}, {'lat': 39.5, 'lon': 20.33333, 'primary': False}]",https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/2010_Dimi_Thesprotias_numbered.svg/320px-2010_Dimi_Thesprotias_numbered.svg.png,320.0,338.0,['Thesprotia Prefecture'],39.64407264763161,20.272670314810025,10000
292355,0,Q303451,2,"[{'lat': 39.6234, 'lon': 20.1946, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Sagiada-strand-camping.JPG/320px-Sagiada-strand-camping.JPG,320.0,213.0,['Sagiada'],39.64407264763161,20.272670314810025,10000
1352271,0,Q1413375,3,"[{'lat': 39.65681, 'lon': 20.34626, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/2011_Dimos_Filiaton.png/320px-2011_Dimos_Filiaton.png,320.0,373.0,['Filiates Municipality'],39.64407264763161,20.272670314810025,10000
3169011,0,Q3323742,4,"[{'lat': 39.62388889, 'lon': 20.32222222, 'primary': True}]",,,,"['Faneromeni, Thesprotia']",39.64407264763161,20.272670314810025,10000
3169027,0,Q3323758,5,"[{'lat': 39.64472222, 'lon': 20.28, 'primary': True}]",,,,['Plesio'],39.64407264763161,20.272670314810025,10000
3169033,0,Q3323764,6,"[{'lat': 39.57083333, 'lon': 20.31583333, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/View_from_Vrisella_-_panoramio.jpg/320px-View_from_Vrisella_-_panoramio.jpg,320.0,239.0,['Vrysella'],39.64407264763161,20.272670314810025,10000
3169041,0,Q3323772,7,"[{'lat': 39.61472222, 'lon': 20.33722222, 'primary': True}]",,,,"['Foiniki, Thesprotia']",39.64407264763161,20.272670314810025,10000
3169095,0,Q3323828,8,"[{'lat': 39.67777778, 'lon': 20.30444444, 'primary': True}]",,,,"['Kerasochori, Thesprotia']",39.64407264763161,20.272670314810025,10000
3169223,0,Q3323967,9,"[{'lat': 39.58694444, 'lon': 20.34666667, 'primary': True}]",,,,"['Sideri, Thesprotia']",39.64407264763161,20.272670314810025,10000
3169268,0,Q3324017,10,"[{'lat': 39.64027778, 'lon': 20.3225, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Giromeriou_monastery_1.jpg/320px-Giromeriou_monastery_1.jpg,320.0,240.0,['Giromeri'],39.64407264763161,20.272670314810025,10000
3169318,0,Q3324073,11,"[{'lat': 39.59361111, 'lon': 20.28444444, 'primary': True}]",,,,['Trikoryfo'],39.64407264763161,20.272670314810025,10000
3391934,0,Q3563026,12,"[{'lat': 39.7, 'lon': 20.31666667, 'primary': True}]",,,,['Agios Nikolaos'],39.64407264763161,20.272670314810025,10000
4040246,0,Q4230832,13,"[{'lat': 39.67508316, 'lon': 20.17597198, 'primary': True}]",,,,['Konispol cave'],39.64407264763161,20.272670314810025,10000
4869955,0,Q5095467,14,"[{'lat': 39.574129, 'lon': 20.262651, 'primary': True}]",https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Theater_gitana_olon.jpg/320px-Theater_gitana_olon.jpg,320.0,180.0,['Gitanae'],39.64407264763161,20.272670314810025,10000
8532117,0,Q8558705,15,"[{'lat': 39.65388889, 'lon': 20.15861111, 'primary': True}]",,,,['Qafë Botë'],39.64407264763161,20.272670314810025,10000
14305991,0,Q12872121,16,"[{'lat': 39.55555556, 'lon': 20.28333333, 'primary': True}]",,,,['Agios Vlasios'],39.64407264763161,20.272670314810025,10000
14315997,0,Q12878550,17,"[{'lat': 39.68361111, 'lon': 20.36833333, 'primary': True}]",,,,"['Kato Xechoro, Thesprotia']",39.64407264763161,20.272670314810025,10000
14322140,0,Q12882651,18,"[{'lat': 39.69444444, 'lon': 20.27861111, 'primary': True}]",,,,"['Palampas, Thesprotia']",39.64407264763161,20.272670314810025,10000
14323726,0,Q12883662,19,"[{'lat': 39.67972222, 'lon': 20.35027778, 'primary': True}]",,,,['Potamia'],39.64407264763161,20.272670314810025,10000
14324316,0,Q12884068,20,"[{'lat': 39.57166667, 'lon': 20.24166667, 'primary': True}]",,,,['Ragi'],39.64407264763161,20.272670314810025,10000
17950652,0,Q16322886,21,"[{'lat': 39.65444444, 'lon': 20.37222222, 'primary': True}]",,,,"['Xechoro, Thesprotia']",39.64407264763161,20.272670314810025,10000
17984678,0,Q16356201,22,"[{'lat': 39.5825, 'lon': 20.33, 'primary': True}]",,,,['Elia'],39.64407264763161,20.272670314810025,10000
23545172,0,Q21500271,23,"[{'lat': 39.61472222, 'lon': 20.22305556, 'primary': True}]",,,,['Asprokklisi'],39.64407264763161,20.272670314810025,10000
23545180,0,Q21500279,24,"[{'lat': 39.60111111, 'lon': 20.24055556, 'primary': True}]",,,,['Smertos'],39.64407264763161,20.272670314810025,10000
23545184,0,Q21500283,25,"[{'lat': 39.60111, 'lon': 20.31194, 'primary': True}]",,,,['Filiates'],39.64407264763161,20.272670314810025,10000
23545210,0,Q21500309,26,"[{'lat': 39.681831, 'lon': 20.36285, 'primary': True}]",,,,"['Vrysoula, Thesprotia']",39.64407264763161,20.272670314810025,10000
23545211,0,Q21500310,27,"[{'lat': 39.68513, 'lon': 20.36469, 'primary': True}]",,,,['Sitena'],39.64407264763161,20.272670314810025,10000
23545217,0,Q21500316,28,"[{'lat': 39.67677, 'lon': 20.3216, 'primary': True}]",,,,"['Mavroneri, Thesprotia']",39.64407264763161,20.272670314810025,10000
23545257,0,Q21500356,29,"[{'lat': 39.6611, 'lon': 20.24263, 'primary': True}]",,,,['Kotsika'],39.64407264763161,20.272670314810025,10000
23545269,0,Q21500368,30,"[{'lat': 39.5802, 'lon': 20.2542, 'primary': True}]",,,,['Phragma Kalama'],39.64407264763161,20.272670314810025,10000
24034555,0,Q22002797,31,"[{'lat': 39.685, 'lon': 20.2317, 'primary': True}]",,,,['Mal Khendel'],39.64407264763161,20.272670314810025,10000
24034561,0,Q22002803,32,"[{'lat': 39.7, 'lon': 20.18333, 'primary': True}]",,,,['Qafa e Dishatit'],39.64407264763161,20.272670314810025,10000
