pageid,ns,title,index,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,entityterms.label,thumbnail.source,thumbnail.width,thumbnail.height,query_lat,query_lon,radius,query_id,country
251276,0,Q258996,-1,False,False,False,39.784,20.383,True,Mourgana,,,,39.7775470198668,20.37550905490921,10000,4,AL
3151859,0,Q3305102,0,False,False,False,39.7793,20.3431,True,Tsamantas,,,,39.7775470198668,20.37550905490921,10000,4,AL
3169039,0,Q3323770,1,False,False,False,39.76527778,20.38888889,True,"Vavouri, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
3169238,0,Q3323984,2,False,False,False,39.73388,20.44384,True,"Kefalochori, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
3169257,0,Q3324006,3,False,False,False,39.75833333,20.41,True,Lias,,,,39.7775470198668,20.37550905490921,10000,4,AL
3169338,0,Q3324094,4,False,False,False,39.75555556,20.465,True,"Kouremadi, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
3169675,0,Q3324453,5,False,False,False,39.74472222,20.34222222,True,"Ampelonas, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
3391934,0,Q3563026,6,False,False,False,39.7,20.31666667,True,Agios Nikolaos,,,,39.7775470198668,20.37550905490921,10000,4,AL
6704539,0,Q6851130,7,False,False,False,39.72916667,20.42194444,True,"Milea, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
7242325,0,Q7335749,8,False,False,False,39.75527778,20.28916667,True,"Rips, Sarandë",,,,39.7775470198668,20.37550905490921,10000,4,AL
7508870,0,Q7590368,9,False,False,False,39.8197,20.3971,True,"St. Mary's Monastery Church, Koshovicë",,,,39.7775470198668,20.37550905490921,10000,4,AL
14305930,0,Q12872092,10,False,False,False,39.71722222,20.35305556,True,"Agioi Pantes, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
14308066,0,Q12873534,11,False,False,False,39.69916667,20.4225,True,Anavrytos,,,,39.7775470198668,20.37550905490921,10000,4,AL
14550446,0,Q13036851,12,False,False,False,39.71083333,20.36972222,True,Platanos,,,,39.7775470198668,20.37550905490921,10000,4,AL
14559595,0,Q13042194,13,False,False,False,39.85916667,20.35,True,,,,,39.7775470198668,20.37550905490921,10000,4,AL
16092655,0,Q14422931,14,False,False,False,39.845616,20.343298,True,Grazhdan,,,,39.7775470198668,20.37550905490921,10000,4,AL
17840519,0,Q16213528,15,False,False,False,39.80027778,20.43388889,True,Agia Marina Delvinakiou Ioanninon,,,,39.7775470198668,20.37550905490921,10000,4,AL
17950460,0,Q16322693,16,False,False,False,39.7175,20.45388889,True,Gardiki Filiates,,,,39.7775470198668,20.37550905490921,10000,4,AL
17950581,0,Q16322814,17,False,False,False,39.69972222,20.39416667,True,"Kryoneri, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
17950589,0,Q16322822,18,False,False,False,39.74263,20.46896,True,"Lista, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
17960369,0,Q16331762,19,False,False,False,39.83472222,20.3775,True,Llongo,,,,39.7775470198668,20.37550905490921,10000,4,AL
17989188,0,Q16360361,20,False,False,False,39.81805556,20.4075,True,Koshovicë,,,,39.7775470198668,20.37550905490921,10000,4,AL
22326586,0,Q20578995,21,False,False,False,39.7867,20.3846,True,Stugara,,,,39.7775470198668,20.37550905490921,10000,4,AL
23531464,0,Q21486560,22,False,False,False,39.83675,20.42703,True,Kastani,,,,39.7775470198668,20.37550905490921,10000,4,AL
23531762,0,Q21486858,23,False,False,False,39.77364722,20.48067222,True,Kato Lavdani Ioanninon,,,,39.7775470198668,20.37550905490921,10000,4,AL
23545187,0,Q21500286,24,False,False,False,39.73286,20.33907,True,"Palaiochori Agion Panton, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
23545212,0,Q21500311,25,False,False,False,39.7042,20.3687,True,Sokolakatika,,,,39.7775470198668,20.37550905490921,10000,4,AL
23545220,0,Q21500319,26,False,False,False,39.73258,20.4437,True,"Kossyvatika, Thesprotia",,,,39.7775470198668,20.37550905490921,10000,4,AL
23545271,0,Q21500370,27,False,False,False,39.762075,20.364925,True,Kamitsani,,,,39.7775470198668,20.37550905490921,10000,4,AL
24034587,0,Q22002829,28,False,False,False,39.85,20.36666667,True,Mavro,,,,39.7775470198668,20.37550905490921,10000,4,AL
24034589,0,Q22002831,29,False,False,False,39.8,20.4,True,Mesovuni,,,,39.7775470198668,20.37550905490921,10000,4,AL
24034602,0,Q22002844,30,False,False,False,39.86666667,20.36666667,True,Lumi i Selos,,,,39.7775470198668,20.37550905490921,10000,4,AL
24034605,0,Q22002847,31,False,False,False,39.80476,20.34661,True,Mal Stugare,,,,39.7775470198668,20.37550905490921,10000,4,AL
24034610,0,Q22002852,32,False,False,False,39.7867,20.305,True,Vertop,,,,39.7775470198668,20.37550905490921,10000,4,AL
24034621,0,Q22002863,33,False,False,False,39.8617,20.3958,True,Zonaria,,,,39.7775470198668,20.37550905490921,10000,4,AL
26980318,0,Q25020723,34,False,False,False,39.76666667,20.48333333,True,Lakkos Kouremadi,,,,39.7775470198668,20.37550905490921,10000,4,AL
26980461,0,Q25020866,35,False,False,False,39.75,20.36666667,True,Potamos Lankavitsa,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/%CE%A0%CE%BF%CF%84%CE%B1%CE%BC%CF%8C%CF%82_%CE%9B%CE%B1%CE%B3%CE%BA%CE%AC%CE%B2%CE%B9%CF%84%CF%83%CE%B1_-_S_3_028.jpg/320px-%CE%A0%CE%BF%CF%84%CE%B1%CE%BC%CF%8C%CF%82_%CE%9B%CE%B1%CE%B3%CE%BA%CE%AC%CE%B2%CE%B9%CF%84%CF%83%CE%B1_-_S_3_028.jpg,320.0,427.0,39.7775470198668,20.37550905490921,10000,4,AL
27466555,0,Q25513761,36,True,False,False,39.76666667,20.43333333,False,Skitari,,,,39.7775470198668,20.37550905490921,10000,4,AL
29660777,0,Q27955031,37,False,False,False,39.84555556,20.33833333,True,Selo Castle,,,,39.7775470198668,20.37550905490921,10000,4,AL
33168364,0,Q31666106,38,False,False,False,39.816306,20.354051,True,Bredhi i Sotirës,,,,39.7775470198668,20.37550905490921,10000,4,AL
56336244,0,Q56397118,39,False,False,False,39.763098,20.36173,True,Moni Agiou Georgiou Kamitsianis,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Agios_Georgios_Kamitsianis_1.jpg/320px-Agios_Georgios_Kamitsianis_1.jpg,320.0,240.0,39.7775470198668,20.37550905490921,10000,4,AL
56336320,0,Q56397194,40,False,False,False,39.77888,20.447912,True,Moni Makralexi,,,,39.7775470198668,20.37550905490921,10000,4,AL
101066431,0,Q105704502,41,False,False,False,39.7831,20.27129444,True,"Zminec, Finiq",,,,39.7775470198668,20.37550905490921,10000,4,AL
109968773,0,Q115385715,42,False,False,False,39.777285,20.343704,True,Bridge of Ekklisias Tsamanta,,,,39.7775470198668,20.37550905490921,10000,4,AL
109968816,0,Q115385757,43,False,False,False,39.754766,20.337584,True,Bridge of Grika,,,,39.7775470198668,20.37550905490921,10000,4,AL
110765076,0,Q116051004,44,False,False,False,39.7445,20.34183,True,"Statue of the Soldier, Ambelonas",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765084,0,Q116051012,45,False,False,False,39.74566,20.3402,True,"Bust of Spyros Stavrou Tsinkos, Ambelonas",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765127,0,Q116051055,46,False,False,False,39.73308,20.43918,True,"Memorial to the Agrarian Movement, Kefalochori",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765132,0,Q116051060,47,False,False,False,39.73352,20.43959,True,"Bust of Dimitris Chinos, Kefalochori",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765143,0,Q116051071,48,False,False,False,39.76299,20.36171,True,"Bust of Damianos Peschos, Kamitsiani",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765161,0,Q116051089,49,False,False,False,39.75867,20.40831,True,"Bust of John Costas, Lias",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765169,0,Q116051097,50,False,False,False,39.74526,20.33949,True,"Bust of Metropolitan Nathanail, Ambelonas",,,,39.7775470198668,20.37550905490921,10000,4,AL
110765176,0,Q116051104,51,False,False,False,39.77687,20.3433,True,"Bust of Stavros Bellos, Tsamantas",,,,39.7775470198668,20.37550905490921,10000,4,AL
