pageid,ns,title,index,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,thumbnail.source,thumbnail.width,thumbnail.height,entityterms.label,query_lat,query_lon,radius,query_id,country
2453734,0,Q2542521,-1,False,False,False,39.98333333,19.91666667,True,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Lukova_pamje.jpg/320px-Lukova_pamje.jpg,320.0,240.0,Lukovë,39.91140848168171,19.87143899561571,10000,5,AL
7508865,0,Q7590363,0,False,False,False,39.931,19.9499,True,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/St._Mary%27s_Monastery%2C_Kakome--.jpg/320px-St._Mary%27s_Monastery%2C_Kakome--.jpg,320.0,180.0,"St. Mary's Monastery, Kakome",39.91140848168171,19.87143899561571,10000,5,AL
17978248,0,Q16350395,1,False,False,False,39.94763948,19.96921786,True,,,,Nivicë,39.91140848168171,19.87143899561571,10000,5,AL
24039379,0,Q22007660,2,False,False,False,39.9192,19.9608,True,,,,Bosh,39.91140848168171,19.87143899561571,10000,5,AL
24039380,0,Q22007661,3,False,False,False,39.91666667,19.93333333,True,,,,Perroi i Brodanit,39.91140848168171,19.87143899561571,10000,5,AL
24039384,0,Q22007665,4,False,False,False,39.8933,19.9792,True,,,,Maja e Eremecit,39.91140848168171,19.87143899561571,10000,5,AL
24039385,0,Q22007666,5,False,False,False,39.91667,19.93333,True,,,,Gjiri i Kakomese,39.91140848168171,19.87143899561571,10000,5,AL
24039386,0,Q22007667,6,False,False,False,39.91194,19.90889,True,,,,Kepi i Qefalit,39.91140848168171,19.87143899561571,10000,5,AL
24039390,0,Q22007671,7,False,False,False,39.9,19.98333333,True,,,,Pasare,39.91140848168171,19.87143899561571,10000,5,AL
24039391,0,Q22007672,8,False,False,False,39.9475,19.9567,True,,,,Mal Shendelli,39.91140848168171,19.87143899561571,10000,5,AL
27119032,0,Q25159890,9,False,False,False,39.90333333,19.77888889,True,,,,,39.91140848168171,19.87143899561571,10000,5,AL
95729331,0,Q97293214,10,False,False,False,39.926342,19.938201,True,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/3Road_To_Kakome_Near_Saranda_2017.jpg/320px-3Road_To_Kakome_Near_Saranda_2017.jpg,320.0,213.0,Bay of Kakome,39.91140848168171,19.87143899561571,10000,5,AL
