pageid,ns,title,index,imagerepository,multiple_coordinates,multiple_imageinfo,multiple_labels,coordinates.lat,coordinates.lon,coordinates.primary,imageinfo.thumburl,imageinfo.thumbwidth,imageinfo.thumbheight,imageinfo.responsiveUrls.1.5,imageinfo.responsiveUrls.2,imageinfo.url,imageinfo.descriptionurl,imageinfo.descriptionshorturl,coordinates.bearing,query_lat,query_lon,radius,query_id,country
52529598,6,"File:Shqipni, Krorëz, 2008 - panoramio.jpg",-1,local,False,False,False,39.936189,19.936291,True,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg/320px-Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg,320.0,213.0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg/480px-Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg/640px-Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Shqipni%2C_Kror%C3%ABz%2C_2008_-_panoramio.jpg,"https://commons.wikimedia.org/wiki/File:Shqipni,_Kror%C3%ABz,_2008_-_panoramio.jpg",https://commons.wikimedia.org/w/index.php?curid=52529598,,39.91140848168171,19.87143899561571,10000,5,AL
60722977,6,"File:Küstenstraße von Saranda nach Durres, Albanien - panoramio.jpg",0,local,False,False,False,39.93985,19.945507,True,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg/320px-K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg,320.0,180.0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg/480px-K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg/640px-K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg,https://upload.wikimedia.org/wikipedia/commons/7/70/K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres%2C_Albanien_-_panoramio.jpg,"https://commons.wikimedia.org/wiki/File:K%C3%BCstenstra%C3%9Fe_von_Saranda_nach_Durres,_Albanien_-_panoramio.jpg",https://commons.wikimedia.org/w/index.php?curid=60722977,,39.91140848168171,19.87143899561571,10000,5,AL
60722982,6,File:Wie Schwalbennester thronen viele Orte hoch über der Küste Albaniens. - panoramio.jpg,1,,False,False,False,39.993873,19.915037,True,,,,,,,,,,39.91140848168171,19.87143899561571,10000,5,AL
72433416,6,File:2018-06-22 Aerial photograph of Corfu.jpg,2,local,False,False,False,39.860665,19.88023,True,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2018-06-22_Aerial_photograph_of_Corfu.jpg/320px-2018-06-22_Aerial_photograph_of_Corfu.jpg,320.0,202.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2018-06-22_Aerial_photograph_of_Corfu.jpg/480px-2018-06-22_Aerial_photograph_of_Corfu.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/2018-06-22_Aerial_photograph_of_Corfu.jpg/640px-2018-06-22_Aerial_photograph_of_Corfu.jpg,https://upload.wikimedia.org/wikipedia/commons/a/af/2018-06-22_Aerial_photograph_of_Corfu.jpg,https://commons.wikimedia.org/wiki/File:2018-06-22_Aerial_photograph_of_Corfu.jpg,https://commons.wikimedia.org/w/index.php?curid=72433416,,39.91140848168171,19.87143899561571,10000,5,AL
102763333,6,File:ISS053-E-20961 - View of Earth.jpg,3,local,False,False,False,39.9,19.9,True,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/ISS053-E-20961_-_View_of_Earth.jpg/320px-ISS053-E-20961_-_View_of_Earth.jpg,320.0,213.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/ISS053-E-20961_-_View_of_Earth.jpg/480px-ISS053-E-20961_-_View_of_Earth.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/ISS053-E-20961_-_View_of_Earth.jpg/640px-ISS053-E-20961_-_View_of_Earth.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/ISS053-E-20961_-_View_of_Earth.jpg,https://commons.wikimedia.org/wiki/File:ISS053-E-20961_-_View_of_Earth.jpg,https://commons.wikimedia.org/w/index.php?curid=102763333,,39.91140848168171,19.87143899561571,10000,5,AL
105954837,6,File:ISS040-E-91090 - View of Earth.jpg,4,local,False,False,False,39.9,19.8,False,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/ISS040-E-91090_-_View_of_Earth.jpg/320px-ISS040-E-91090_-_View_of_Earth.jpg,320.0,213.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/ISS040-E-91090_-_View_of_Earth.jpg/480px-ISS040-E-91090_-_View_of_Earth.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/ISS040-E-91090_-_View_of_Earth.jpg/640px-ISS040-E-91090_-_View_of_Earth.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f3/ISS040-E-91090_-_View_of_Earth.jpg,https://commons.wikimedia.org/wiki/File:ISS040-E-91090_-_View_of_Earth.jpg,https://commons.wikimedia.org/w/index.php?curid=105954837,340.0,39.91140848168171,19.87143899561571,10000,5,AL
119868987,6,File:ISS065-E-93880 - View of Earth.jpg,5,local,False,False,False,39.9,19.8,True,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/ISS065-E-93880_-_View_of_Earth.jpg/320px-ISS065-E-93880_-_View_of_Earth.jpg,320.0,213.0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/ISS065-E-93880_-_View_of_Earth.jpg/480px-ISS065-E-93880_-_View_of_Earth.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/ISS065-E-93880_-_View_of_Earth.jpg/639px-ISS065-E-93880_-_View_of_Earth.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4f/ISS065-E-93880_-_View_of_Earth.jpg,https://commons.wikimedia.org/wiki/File:ISS065-E-93880_-_View_of_Earth.jpg,https://commons.wikimedia.org/w/index.php?curid=119868987,,39.91140848168171,19.87143899561571,10000,5,AL
123399845,6,"File:St. Mary's Monastery, Kakome 01.jpg",6,local,False,False,False,39.931,19.9499,True,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/St._Mary%27s_Monastery%2C_Kakome_01.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_01.jpg,320.0,180.0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/St._Mary%27s_Monastery%2C_Kakome_01.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_01.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/St._Mary%27s_Monastery%2C_Kakome_01.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_01.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/St._Mary%27s_Monastery%2C_Kakome_01.jpg,"https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_01.jpg",https://commons.wikimedia.org/w/index.php?curid=123399845,,39.91140848168171,19.87143899561571,10000,5,AL
123399846,6,"File:St. Mary's Monastery, Kakome 03.jpg",7,local,False,False,False,39.931,19.9499,True,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/St._Mary%27s_Monastery%2C_Kakome_03.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_03.jpg,320.0,180.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/St._Mary%27s_Monastery%2C_Kakome_03.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_03.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/St._Mary%27s_Monastery%2C_Kakome_03.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_03.jpg,https://upload.wikimedia.org/wikipedia/commons/0/03/St._Mary%27s_Monastery%2C_Kakome_03.jpg,"https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_03.jpg",https://commons.wikimedia.org/w/index.php?curid=123399846,,39.91140848168171,19.87143899561571,10000,5,AL
123399847,6,"File:St. Mary's Monastery, Kakome 02.jpg",8,local,False,False,False,39.931,19.9499,True,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/St._Mary%27s_Monastery%2C_Kakome_02.jpg/320px-St._Mary%27s_Monastery%2C_Kakome_02.jpg,320.0,569.0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/St._Mary%27s_Monastery%2C_Kakome_02.jpg/480px-St._Mary%27s_Monastery%2C_Kakome_02.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/St._Mary%27s_Monastery%2C_Kakome_02.jpg/640px-St._Mary%27s_Monastery%2C_Kakome_02.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/St._Mary%27s_Monastery%2C_Kakome_02.jpg,"https://commons.wikimedia.org/wiki/File:St._Mary%27s_Monastery,_Kakome_02.jpg",https://commons.wikimedia.org/w/index.php?curid=123399847,,39.91140848168171,19.87143899561571,10000,5,AL
