score_bin,scenery_type,count,proportion
1,industrial_area,11559,0.050649606730495365
1,hospital,10382,0.045492189382818835
1,motel,8477,0.03714479766886489
1,street,8335,0.03652257739412396
1,parking_lot,7867,0.03447187958723134
1,highway,7398,0.03241679994741801
1,office_building,6604,0.028937624608373683
1,gas_station,6588,0.02886751528164231
1,loading_dock,6408,0.02807878535591438
1,parking_garage/outdoor,6231,0.027303200928948577
1,train_station/platform,6230,0.027298819096027868
1,crosswalk,6181,0.027084109282913042
1,subway_station/platform,5362,0.023495388120850953
1,hangar/outdoor,5063,0.022185220077558444
1,railroad_track,4815,0.02109852551322218
1,hotel/outdoor,4716,0.02066472405407182
1,bus_station/indoor,4671,0.020467541572639834
1,promenade,4143,0.01815393379050457
1,downtown,3741,0.016392436956378854
1,airport_terminal,3727,0.016331091295488903
2,house,294937,0.03467042833002718
2,motel,244616,0.028755095143633825
2,residential_neighborhood,222392,0.02614261993975461
2,building_facade,221183,0.026000499595915067
2,street,205252,0.02412777900227757
2,inn/outdoor,201325,0.023666152376754096
2,highway,166089,0.019524090808904562
2,promenade,158364,0.0186160017632797
2,industrial_area,154365,0.01814591139519506
2,hotel/outdoor,151515,0.017810888252148997
2,field/wild,150072,0.017641260744985673
2,cottage,145138,0.017061259275585924
2,apartment_building/outdoor,141696,0.01665664536037029
2,hospital,141516,0.01663548600396738
2,driveway,140048,0.016462919697303652
2,plaza,127771,0.015019734038645214
2,village,120929,0.014215443391374623
2,embassy,113038,0.013287840717067078
2,campus,110238,0.01295869517302182
2,parking_lot,98217,0.01154560282124752
3,church/outdoor,277865,0.029203405426169612
3,tower,223004,0.02343755501289305
3,tree_farm,212579,0.022341895244416207
3,pasture,202840,0.021318333567179184
3,house,200749,0.021098571017933613
3,oast_house,193577,0.020344799136924892
3,cottage,187977,0.019756243290069225
3,forest/broadleaf,179061,0.01881917830246831
3,palace,177362,0.018640614662502632
3,forest_path,169900,0.017856363996567457
3,field_road,155838,0.016378458225409533
3,farm,152712,0.01604991794375403
3,mausoleum,150369,0.015803670381399952
3,botanical_garden,148370,0.015593576963924154
3,field/wild,148033,0.015558158513854448
3,cemetery,139743,0.014686885661991327
3,kasbah,136058,0.014299594894908623
3,yard,134297,0.01411451510092419
3,village,130764,0.013743199421113284
3,castle,123092,0.012936877910921022
4,tundra,176826,0.04819125408291329
4,valley,163674,0.044606875237616354
4,mountain,136316,0.03715086577520505
4,river,107594,0.02932311872573588
4,cliff,96422,0.026278358958426166
4,badlands,94202,0.025673331507349583
4,coast,91065,0.024818389564094073
4,pasture,75981,0.020707473315427792
4,lagoon,71992,0.01962033164770505
4,ocean,71428,0.019466621970945057
4,field_road,70376,0.01917991526890336
4,desert/vegetation,69838,0.019033291499228045
4,butte,66363,0.018086232763871685
4,beach,65094,0.017740385991161695
4,village,62982,0.017164792307975324
4,lake/natural,62925,0.0171492578193666
4,watering_hole,62093,0.01692250879265682
4,mountain_path,60650,0.01652924094945704
4,castle,60390,0.016458381878610234
4,canyon,58193,0.01585962272995472
5,mountain,81226,0.13109848607120952
5,valley,64469,0.10405274540817973
5,tundra,60333,0.09737725556021821
5,butte,41897,0.06762161464217696
5,mountain_snowy,39575,0.06387391458730107
5,cliff,34393,0.05551018431840925
5,mountain_path,32731,0.05282772200522935
5,badlands,25799,0.041639497724264826
5,glacier,21842,0.03525291326382388
5,canyon,21574,0.034820362180832176
5,coast,21189,0.03419897349817618
5,ocean,14551,0.02348526421123987
5,desert/vegetation,12631,0.020386390780851544
5,beach,9797,0.015812324477872106
5,hot_spring,9709,0.015670292778979307
5,lagoon,9199,0.014847154524032409
5,river,8705,0.014049840214338746
5,iceberg,6775,0.010934826818167145
5,wave,6664,0.01075567319797282
5,ice_shelf,6191,0.00999225281642403
6,mountain,1755,0.16401869158878504
6,valley,1312,0.12261682242990654
6,tundra,1097,0.1025233644859813
6,mountain_snowy,1034,0.0966355140186916
6,mountain_path,867,0.08102803738317757
6,butte,774,0.07233644859813085
6,canyon,612,0.05719626168224299
6,glacier,596,0.055700934579439254
6,cliff,403,0.03766355140186916
6,badlands,288,0.02691588785046729
6,coast,189,0.01766355140186916
6,hot_spring,187,0.017476635514018693
6,river,139,0.012990654205607476
6,iceberg,137,0.01280373831775701
6,desert/vegetation,126,0.01177570093457944
6,ocean,124,0.011588785046728972
6,ice_shelf,109,0.010186915887850468
6,wave,86,0.008037383177570093
6,rock_arch,78,0.007289719626168224
6,beach,66,0.006168224299065421
