image_path,predicted_score
"data/processed/wikimedia_commons/images/DK/ns6/151/File:Kinopladsen, Vamdrup 2022.jpeg",2.2415109
"data/processed/wikimedia_commons/images/DE/ns6/7403/File:Dickens Day, Beerta (2019) 14.jpeg",2.0321436
data/processed/wikimedia_commons/images/FI/ns6/414/File:View on Verkkorannan uimaranta.jpeg,2.5968366
data/processed/wikimedia_commons/images/DK/ns6/260/File:Copenhagen Pride Parade 2022 05.jpeg,2.3164485
data/processed/wikimedia_commons/images/FI/ns6/670/File:Jyväskylä - Lutakon aukio3.jpeg,2.0669935
data/processed/wikimedia_commons/images/ES/ns6/2572/File:Teatro Romano de Zaragoza 001.jpeg,2.267505
"data/processed/wikimedia_commons/images/PL/ns6/107/File:Zabłocie, Kraków, Poland - panoramio (28).jpeg",2.4952188
"data/processed/wikimedia_commons/images/DE/ns6/590/File:Landappbw 432281 1822 Bäckerei Ladenschild Bäckerei Felsenbeck Spaichingen, Hauptstr. 80.jpeg",2.3802915
data/processed/wikimedia_commons/images/UK/ns6/1115/File:Pagoda in central Birmingham.jpeg,2.7807071
data/processed/wikimedia_commons/images/TR/ns6/3391/File:Graffiti in Istanbul 07.jpeg,2.2477055
data/processed/wikimedia_commons/images/FR/ns6/32656/File:フランスパリコンコルド広場 - panoramio.jpeg,2.4377205
data/processed/wikimedia_commons/images/UK/ns6/2001/File:Corner of Elgin Terrace and Edina Street - geograph.org.uk - 1522485.jpeg,2.535818
data/processed/wikimedia_commons/images/DE/ns6/4283/File:Mittelhessische Landheegen (001).jpeg,2.6680372
data/processed/wikimedia_commons/images/DE/ns6/3252/File:Ehemaliges Städtisches Wasserwerk (erbaut 1922-23) - panoramio.jpeg,2.665699
data/processed/wikimedia_commons/images/UK/ns6/1117/File:Bridge no.87 on the Worcester and Birmingham Canal - geograph.org.uk - 1966696.jpeg,2.983664
data/processed/wikimedia_commons/images/DE/ns6/5032/File:Wiener Straße 44 12.jpeg,2.6224356
data/processed/wikimedia_commons/images/DE/ns6/2879/File:Wiesbaden-Biebrich - Am Schlosspark 58.jpeg,2.7789905
"data/processed/wikimedia_commons/images/DE/ns6/5927/File:Leipzig, April 2013 - panoramio (114).jpeg",2.53433
data/processed/wikimedia_commons/images/UK/ns6/1473/File:View down Earle Road towards St Dunstan's.jpeg,2.1336768
"data/processed/wikimedia_commons/images/DE/ns6/5318/File:Döbeln, das Hotel ""Döbelner Hof"".jpeg",2.5888298
data/processed/wikimedia_commons/images/NL/ns6/2180/File:Oss (NL) Heuvel 19.jpeg,2.1817217
"data/processed/wikimedia_commons/images/NO/ns6/3271/File:Czech Arctic Research Station, Longyearbyen.jpeg",2.31551
data/processed/wikimedia_commons/images/FI/ns6/1288/File:Headrace Bridge Regional Road 851 Ii 20230616 03.jpeg,2.3219051
data/processed/wikimedia_commons/images/DK/ns6/17/File:Seewarte zur Nacht (Flensburg-Mürwik 2015-04-19).jpeg,2.1894152
data/processed/wikimedia_commons/images/FR/ns6/11258/File:Riom - Fontaine du Château d'eau 20220820-01.jpeg,2.5865686
data/processed/wikimedia_commons/images/FR/ns6/12265/File:JLB-EB - 20150328 12.jpeg,2.089563
data/processed/wikimedia_commons/images/SK/ns6/21/File:BKV kulcsosház - panoramio.jpeg,2.9114568
"data/processed/wikimedia_commons/images/IT/ns6/460/File:Nulvi, chiesa di Santa Tecla (01).jpeg",2.546834
"data/processed/wikimedia_commons/images/DE/ns6/6772/File:Waldstraße, 8, List, Hannover.jpeg",2.227961
"data/processed/wikimedia_commons/images/LT/ns6/190/File:Toliejai, mokykla.jpeg",2.9965403
data/processed/wikimedia_commons/images/DE/ns6/5269/File:Golzen 1996-07-14 11.jpeg,2.9246397
data/processed/wikimedia_commons/images/FR/ns6/37590/File:Rue Émaillerie - Saint-Denis (FR93) - 2022-07-30 - 1.jpeg,2.464198
data/processed/wikimedia_commons/images/UK/ns6/613/File:The Forties (49445683426).jpeg,2.1865175
"data/processed/wikimedia_commons/images/FI/ns6/63/File:Laajasalo, Jollaksen kartano - G2693 - hkm.HKMS000005-km00418l.jpeg",2.9093127
data/processed/wikimedia_commons/images/FR/ns6/28790/File:Bischwiller rRépublique 25.jpeg,2.790821
"data/processed/wikimedia_commons/images/DK/ns6/114/File:Sønderportsgade, Ribe 2022 syd.jpeg",2.3319852
"data/processed/wikimedia_commons/images/UK/ns6/560/File:Oliver's, Cadle - geograph.org.uk - 4974957.jpeg",2.2804594
"data/processed/wikimedia_commons/images/MT/ns6/36/File:Triq It-Tahhan, Birkirkara, Malta - panoramio (2).jpeg",2.8692966
data/processed/wikimedia_commons/images/FR/ns6/40933/File:Place Rihour - Lille (FR59) - 2024-02-24 - 1.jpeg,2.5054405
data/processed/wikimedia_commons/images/DE/ns6/2267/File:Lauf an der Pegnitz 069.jpeg,2.2968245
data/processed/wikimedia_commons/images/FR/ns6/34576/File:Rue Gounod - Saint-Cloud (FR92) - 2023-09-02 - 2.jpeg,2.612042
data/processed/wikimedia_commons/images/DE/ns6/5288/File:Lauterbach Kgl Saechs MS-02.jpeg,2.999082
"data/processed/wikimedia_commons/images/DE/ns6/7193/File:1 Nôtmûne Nooitgedacht, Feanoard (Drinte).jpeg",2.3434594
"data/processed/wikimedia_commons/images/NL/ns6/399/File:IJzeren hek in Lodewijk XIV-stijl, dat toegang geeft tot de Portugese synagoge te Den Haag - 's-Gravenhage - 20085698 - RCE.jpeg",2.6707416
data/processed/wikimedia_commons/images/NL/ns6/1921/File:RM40789 Zierikzee - Nieuwe Bogerdstraat 15.jpeg,2.393451
data/processed/wikimedia_commons/images/FR/ns6/20553/File:2021-07-21 20-05-18 tour-alsace-Sausheim.jpeg,2.5592928
"data/processed/wikimedia_commons/images/UK/ns6/1503/File:St Luke's Church, Cheetham Hill.jpeg",2.5854473
data/processed/wikimedia_commons/images/UK/ns6/787/File:Station Road - geograph.org.uk - 1962515.jpeg,2.3307521
data/processed/wikimedia_commons/images/UK/ns6/1163/File:Falcon Lodge Housing Estate - geograph.org.uk - 270887.jpeg,2.4403503
data/processed/wikimedia_commons/images/BE/ns6/342/File:Hoeilaart Gemeenteplein Sint-Clemenskerk - 253848 - onroerenderfgoed.jpeg,2.4024634
"data/processed/wikimedia_commons/images/DE/ns6/1536/File:Fürstenstraße 8, Straubing.jpeg",2.554047
data/processed/wikimedia_commons/images/DE/ns6/413/File:Kaufbeuren - panoramio (11).jpeg,2.9697676
"data/processed/wikimedia_commons/images/PL/ns6/1871/File:Złotowo, bocianie gniazdo.jpeg",2.4710476
data/processed/wikimedia_commons/images/ES/ns6/2323/File:View from Torre de St. Sebastia - panoramio (13).jpeg,2.6007867
data/processed/wikimedia_commons/images/PL/ns6/334/File:Prehoryłe - (5).jpeg,2.561999
data/processed/wikimedia_commons/images/FR/ns6/34121/File:53 rue Dumont d'Urville (janvier 2020).jpeg,2.3813934
data/processed/wikimedia_commons/images/FR/ns6/26245/File:Canaux de Carré Sénart - Canal Nord - IMG 0272.jpeg,2.672358
data/processed/wikimedia_commons/images/FR/ns6/30757/File:Rue Folie Régnault - Paris XI (FR75) - 2021-06-20 - 2.jpeg,2.1522787
"data/processed/wikimedia_commons/images/DE/ns6/3584/File:Limburger Straße, 1, Elz, Landkreis Limburg-Weilburg.jpeg",2.5197878
data/processed/wikimedia_commons/images/PL/ns6/1566/File:Inowrocław. Fontanna na rynku (3).jpeg,2.7398388
data/processed/wikimedia_commons/images/CH/ns6/781/File:2013-09-28 12-00-32 Switzerland Kanton Thurgau Etzwilen Etzwilen.jpeg,2.598607
data/processed/wikimedia_commons/images/FR/ns6/28320/File:Avenue Chalets - Choisy-le-Roi (FR94) - 2023-11-25 - 1.jpeg,2.161468
data/processed/wikimedia_commons/images/CH/ns6/575/File:Energy 2005 80.jpeg,2.51645
data/processed/wikimedia_commons/images/UK/ns6/2331/File:Porterstown - geograph.org.uk - 1997448.jpeg,2.721547
data/processed/wikimedia_commons/images/CH/ns6/814/File:Signalling Centre Radolfzell (Konstanz).jpeg,2.1531353
"data/processed/wikimedia_commons/images/IE/ns6/176/File:Ryan ^ Burns Car Sales, Dublin Road, Nenagh, Co. Tipperary - geograph.org.uk - 6325485.jpeg",2.0202727
data/processed/wikimedia_commons/images/UK/ns6/293/File:The M25 north of Merstham - geograph.org.uk - 899095.jpeg,2.1358714
data/processed/wikimedia_commons/images/CZ/ns6/2156/File:Buštěhrad (0016).jpeg,2.6022954
data/processed/wikimedia_commons/images/PL/ns6/1279/File:Spotkanie zespołu Wikimedia Polska Warszawa 28-29 lutego 2024 07.jpeg,2.1828203
data/processed/wikimedia_commons/images/FR/ns6/37624/File:F-GRXM CDG 13012012 (6697658461).jpeg,2.584734
data/processed/wikimedia_commons/images/FR/ns6/31612/File:Rue Prés Champlain - Chennevières-sur-Marne (FR94) - 2022-04-09 - 1.jpeg,2.4783187
data/processed/wikimedia_commons/images/DE/ns6/4771/File:Waltersdorf Neusorge 15.jpeg,2.8607538
data/processed/wikimedia_commons/images/FR/ns6/28127/File:Rue Vasco Gama - Valenton (FR94) - 2022-05-11 - 2.jpeg,2.3699102
data/processed/wikimedia_commons/images/PL/ns6/1854/File:2022-08 Pol’and’Rock (016).jpeg,2.2239978
data/processed/wikimedia_commons/images/PL/ns6/2530/File:A-4259 Elbląg ul.Stoczniowa 10 budynek mieszkalny.jpeg,2.5964901
data/processed/wikimedia_commons/images/UK/ns6/869/File:Bridge at Lower End - geograph.org.uk - 1042543.jpeg,2.7272928
data/processed/wikimedia_commons/images/FR/ns6/36614/File:Travaux T13 - Saint-Germain-en-Laye (2021) 03.jpeg,2.3355272
data/processed/wikimedia_commons/images/ES/ns6/1770/File:EC-LEK (16864840888).jpeg,2.1691115
data/processed/wikimedia_commons/images/FR/ns6/33347/File:Rue Maurice Bureau - Bobigny (FR93) - 2021-04-25 - 1.jpeg,2.3455691
data/processed/wikimedia_commons/images/FR/ns6/31628/File:Panneau entrée Bonneuil Marne 2.jpeg,2.3174396
data/processed/wikimedia_commons/images/AT/ns6/842/File:Wien 04 Planquadrat-Garten a.jpeg,2.7553902
data/processed/wikimedia_commons/images/CZ/ns6/1766/File:Ke Kulišce 5.jpeg,2.6844254
data/processed/wikimedia_commons/images/CZ/ns6/1158/File:Oldřiš - obecní úřad.jpeg,2.8290997
data/processed/wikimedia_commons/images/DE/ns6/5402/File:Bautzen Reichenstraße mit Reichenturm.jpeg,2.6574142
data/processed/wikimedia_commons/images/DE/ns6/7236/File:Karow-Gatterweg2-.jpeg,2.7791848
data/processed/wikimedia_commons/images/FR/ns6/34266/File:Plaque Rue Mozart - Noisy-le-Grand (FR93) - 2021-10-10 - 2.jpeg,2.6313171
data/processed/wikimedia_commons/images/BE/ns6/613/File:Woning Bellemdorpweg 54.jpeg,2.704548
"data/processed/wikimedia_commons/images/HU/ns6/195/File:Dózsa György út 24, 2019 Mezőtúr.jpeg",2.2020223
"data/processed/wikimedia_commons/images/PL/ns6/1061/File:Grójec, Stacja Grójec - fotopolska.eu (241276).jpeg",2.9545765
data/processed/wikimedia_commons/images/FR/ns6/35277/File:Pantheon (5684076077).jpeg,2.5462413
data/processed/wikimedia_commons/images/DE/ns6/5247/File:Kloster Germerode mit Torhaus von N.jpeg,2.883375
data/processed/wikimedia_commons/images/IT/ns6/2494/File:DSC06395-01.jpeg,2.5605085
"data/processed/wikimedia_commons/images/DE/ns6/5819/File:2017-09-03 Ruhrstraße 7, Essen-Kettwig (NRW).jpeg",2.4871573
