pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
4511926,6,File:Chaussée Brunehault B-4042 Herstal.JPG,-1,"[{'lat': 50.68572222, 'lon': 5.57383333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG/320px-Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG/480px-Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG/640px-Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/3e/Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Chauss%C3%A9e_Brunehault_B-4042_Herstal.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=4511926'}]",,,,,50.716847144862456,5.618211744664125,5000
4512015,6,File:Chaussée Brunehault B-4041 Herstal.JPG,0,"[{'lat': 50.68013889, 'lon': 5.58130556, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG/320px-Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG/480px-Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG/640px-Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/f/f2/Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Chauss%C3%A9e_Brunehault_B-4041_Herstal.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=4512015'}]",,,,,50.716847144862456,5.618211744664125,5000
4572258,6,File:Oupeye - cdv - 22-12.jpg,1,"[{'lat': 50.70833333, 'lon': 5.64527778, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
4755832,6,File:Haccourt - kerk en wal.jpg,2,"[{'lat': 50.73333333, 'lon': 5.66694444, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
4755842,6,File:Haccourt Muraille.jpg,3,"[{'lat': 50.73388889, 'lon': 5.66611111, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
4837620,6,File:Chaussée Brunehaut condamnée.JPG,4,"[{'lat': 50.68438889, 'lon': 5.57558333, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG/320px-Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG/480px-Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG/640px-Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/e/ef/Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Chauss%C3%A9e_Brunehaut_condamn%C3%A9e.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=4837620'}]",,,,,50.716847144862456,5.618211744664125,5000
12620941,6,"File:Fexhe-Slins, straatzicht foto4 2010-07-09 14.53.JPG",5,"[{'lat': 50.72, 'lon': 5.56944444, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG/320px-Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG/480px-Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG/640px-Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Fexhe-Slins,_straatzicht_foto4_2010-07-09_14.53.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=12620941'}]",,,,,50.716847144862456,5.618211744664125,5000
18200559,6,"File:Haccourt, kerk foto3 2011-03-25 14.39.JPG",6,"[{'lat': 50.71055556, 'lon': 5.68083333, 'primary': False}]",,,,,,,50.716847144862456,5.618211744664125,5000
19078228,6,File:Pont Hermalle (Canal).jpg,7,"[{'lat': 50.71499444, 'lon': 5.67187222, 'primary': False}]",,,,,,,50.716847144862456,5.618211744664125,5000
19385163,6,File:Station Milmort.jpg,8,"[{'lat': 50.692613, 'lon': 5.600096, 'primary': True}]",,,,,,,50.716847144862456,5.618211744664125,5000
