pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
979006,6,File:Tumulus othee belgium.JPG,-1,"[{'lat': 50.72336, 'lon': 5.4596, 'primary': False}]",,,,,,,50.716847144862456,5.518089113176313,5000
982785,6,File:Tumuls xhendremael.jpg,0,"[{'lat': 50.69736, 'lon': 5.47808, 'primary': False}]",,,,,,,50.716847144862456,5.518089113176313,5000
984823,6,File:Chateau hombroux alleur belgique.jpg,1,"[{'lat': 50.67589, 'lon': 5.52177, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chateau_hombroux_alleur_belgique.jpg/320px-Chateau_hombroux_alleur_belgique.jpg', 'thumbwidth': 320, 'thumbheight': 241, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chateau_hombroux_alleur_belgique.jpg/480px-Chateau_hombroux_alleur_belgique.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Chateau_hombroux_alleur_belgique.jpg/640px-Chateau_hombroux_alleur_belgique.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/4/47/Chateau_hombroux_alleur_belgique.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Chateau_hombroux_alleur_belgique.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=984823'}]",,,,,50.716847144862456,5.518089113176313,5000
3541346,6,File:Diets-Heur - Sint-Cunibertuskerk.jpg,2,"[{'lat': 50.74563, 'lon': 5.48487, 'primary': False}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Diets-Heur_-_Sint-Cunibertuskerk.jpg/320px-Diets-Heur_-_Sint-Cunibertuskerk.jpg', 'thumbwidth': 320, 'thumbheight': 427, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Diets-Heur_-_Sint-Cunibertuskerk.jpg/480px-Diets-Heur_-_Sint-Cunibertuskerk.jpg', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Diets-Heur_-_Sint-Cunibertuskerk.jpg/640px-Diets-Heur_-_Sint-Cunibertuskerk.jpg'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/9/9c/Diets-Heur_-_Sint-Cunibertuskerk.jpg', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Diets-Heur_-_Sint-Cunibertuskerk.jpg', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=3541346'}]",,,,,50.716847144862456,5.518089113176313,5000
3546052,6,File:Vreren - Sint-Medarduskerk.jpg,3,"[{'lat': 50.75237, 'lon': 5.49732, 'primary': False}]",,,,,,,50.716847144862456,5.518089113176313,5000
9815742,6,File:Moresnet - Village.png,4,"[{'lat': 50.72111111, 'lon': 5.48916667, 'primary': True}]",,,,,,,50.716847144862456,5.518089113176313,5000
9815831,6,File:Moresnet - Panorama.jpg,5,"[{'lat': 50.72111111, 'lon': 5.48916667, 'primary': True}]",,,,,,,50.716847144862456,5.518089113176313,5000
12620941,6,"File:Fexhe-Slins, straatzicht foto4 2010-07-09 14.53.JPG",6,"[{'lat': 50.72, 'lon': 5.56944444, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG/320px-Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG/480px-Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG/640px-Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/3/38/Fexhe-Slins%2C_straatzicht_foto4_2010-07-09_14.53.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Fexhe-Slins,_straatzicht_foto4_2010-07-09_14.53.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=12620941'}]",,,,,50.716847144862456,5.518089113176313,5000
15742474,6,File:Awans-Tumulus van Othée (1).JPG,7,"[{'lat': 50.72370833, 'lon': 5.46261667, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG/320px-Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG/480px-Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG/640px-Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/d/d1/Awans-Tumulus_van_Oth%C3%A9e_%281%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Awans-Tumulus_van_Oth%C3%A9e_(1).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=15742474'}]",,,,,50.716847144862456,5.518089113176313,5000
15742477,6,File:Awans-Tumulus van Othée (2).JPG,8,"[{'lat': 50.72294722, 'lon': 5.46117778, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG/320px-Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG', 'thumbwidth': 320, 'thumbheight': 240, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG/480px-Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG/640px-Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/c/c8/Awans-Tumulus_van_Oth%C3%A9e_%282%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Awans-Tumulus_van_Oth%C3%A9e_(2).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=15742477'}]",,,,,50.716847144862456,5.518089113176313,5000
